sensor_id,sensor_type,timestamp,value_type,value,location,lat,lon,location_name
49,pms5003,3/1/2024 3:00,P2,9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:00,P1,9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:00,P0,4.6,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:00,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:00,temperature,19.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:00,P2,7.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:00,P1,13,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:00,P0,4.6,3573,-1.289,36.825,Unknown
50,DHT22,3/1/2024 3:00,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:00,temperature,19.4,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:01,P2,9.2,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:01,P1,11.2,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
